=========================================
                 ERSAP DPE               
=========================================
 Name             = 10.90.0.1%8210_cpp
 Date             = 2026-02-06 09:37:07
 Version          = 4.3
 Lang             = C++

 Proxy Host       = 10.90.0.1
 Proxy Port       = 8210

 FrontEnd Host    = 10.90.0.1
 FrontEnd Port    = 8200
 FrontEnd Lang    = Java
=========================================
2026-02-06 09:37:10: started container = 10.90.0.1%8210_cpp:gurjyan
2026-02-06 09:37:10: created service = 10.90.0.1%8210_cpp:gurjyan:haidis pool_size = 128
2026-02-06 09:37:11: started service = 10.90.0.1%8210_cpp:gurjyan:haidis
π+ four-vector: E=0.16268, Px=-0.0553506, Py=-0.00241351, Pz=0.06383
π- four-vector: E=0.194907, Px=-0.0985396, Py=-0.0866344, Pz=-0.0381097
γ1 four-vector: E=0.162765, Px=0.125199, Py=0.0973944, Pz=0.0364968
γ2 four-vector: E=0.0349351, Px=0.00595988, Py=-0.0108961, Pz=-0.032653
π+ four-vector: E=0.17965, Px=0.078424, Py=0.0627732, Pz=0.0535022
π- four-vector: E=0.194036, Px=-0.119382, Py=-0.0593751, Pz=0.0234858
γ1 four-vector: E=0.102765, Px=0.101569, Py=-0.0108253, Pz=-0.0112803
γ2 four-vector: E=0.0178831, Px=-0.00706787, Py=-0.00399798, Pz=-0.0159332
π+ four-vector: E=0.202029, Px=-0.0299694, Py=0.109622, Pz=-0.0926254
π- four-vector: E=0.189637, Px=-0.0362285, Py=-0.0413303, Pz=0.116708
γ1 four-vector: E=0.129865, Px=0.107478, Py=-0.0297805, Pz=-0.0665327
γ2 four-vector: E=0.0500541, Px=-0.0101538, Py=-0.0346005, Pz=0.0347149
π+ four-vector: E=0.151869, Px=0.0215166, Py=0.0386317, Pz=0.0422842
π- four-vector: E=0.18512, Px=-0.059104, Py=-0.0158713, Pz=0.105846
γ1 four-vector: E=0.0502459, Px=-0.0301228, Py=-0.00280711, Pz=-0.0401171
γ2 four-vector: E=0.0825216, Px=0.0541505, Py=-0.0146866, Pz=-0.0605131
π+ four-vector: E=0.204556, Px=-0.148474, Py=-0.00611244, Pz=-0.0209862
π- four-vector: E=0.209895, Px=0.145158, Py=-0.00493162, Pz=0.0603324
γ1 four-vector: E=0.0855226, Px=0.0361802, Py=0.0615161, Pz=-0.0471263
γ2 four-vector: E=0.0762289, Px=-0.0221649, Py=-0.0725066, Pz=0.00789666
π+ four-vector: E=0.189999, Px=-0.108139, Py=0.0594113, Pz=0.0394323
π- four-vector: E=0.18206, Px=-0.0353276, Py=-0.105877, Pz=-0.0369683
γ1 four-vector: E=0.00182337, Px=-0.000540402, Py=5.79405e-05, Pz=-0.00174048
γ2 four-vector: E=0.12999, Px=0.122245, Py=0.0215825, Pz=0.0385696
π+ four-vector: E=0.192554, Px=-0.131277, Py=-0.0226923, Pz=-0.00267898
π- four-vector: E=0.1932, Px=0.129622, Py=-0.0252552, Pz=0.0237836
γ1 four-vector: E=0.0967665, Px=-0.0414184, Py=0.0767348, Pz=-0.0419529
γ2 four-vector: E=0.0541754, Px=0.0396142, Py=-0.0200164, Pz=0.031065
π+ four-vector: E=0.226696, Px=0.173265, Py=0.0200036, Pz=0.0406111
π- four-vector: E=0.165219, Px=-0.0867739, Py=-0.0200279, Pz=-0.00674244
γ1 four-vector: E=0.0383301, Px=-0.00826437, Py=0.0294765, Pz=-0.0230658
γ2 four-vector: E=0.0513787, Px=-0.0389884, Py=-0.0328, Pz=0.00662073
π+ four-vector: E=0.220377, Px=0.148655, Py=-0.0843907, Pz=0.0049712
π- four-vector: E=0.189806, Px=-0.105837, Py=0.0715095, Pz=0.0197565
γ1 four-vector: E=0.0416225, Px=0.030172, Py=0.0283677, Pz=0.00416571
γ2 four-vector: E=0.0994755, Px=-0.0905766, Py=-0.0272616, Pz=-0.0307905
π+ four-vector: E=0.156849, Px=0.0702917, Py=-0.00606028, Pz=-0.0174074
π- four-vector: E=0.204965, Px=-0.0833977, Py=-0.119391, Pz=-0.0384735
γ1 four-vector: E=0.178807, Px=0.0343741, Py=0.12505, Pz=0.123097
γ2 four-vector: E=0.0379635, Px=-0.0268838, Py=0.010133, Pz=-0.0248155
π+ four-vector: E=0.222392, Px=-0.0677192, Py=-0.0305015, Pz=-0.156911
π- four-vector: E=0.1708, Px=0.0185144, Py=0.0015549, Pz=0.0975002
γ1 four-vector: E=0.107648, Px=0.106498, Py=0.0129624, Pz=-0.00884204
γ2 four-vector: E=0.00596401, Px=-0.00415309, Py=0.00277744, Pz=0.00325685
π+ four-vector: E=0.177342, Px=-0.0935563, Py=-0.0300898, Pz=-0.049711
π- four-vector: E=0.189229, Px=0.113474, Py=-0.0545209, Pz=0.0252499
γ1 four-vector: E=0.0483768, Px=-0.00785517, Py=-0.042309, Pz=0.0221034
γ2 four-vector: E=0.123389, Px=-0.037552, Py=0.110526, Pz=0.0399849
π+ four-vector: E=0.183819, Px=-0.0553452, Py=-0.0479166, Pz=0.095443
π- four-vector: E=0.179357, Px=0.0805419, Py=-0.0484525, Pz=-0.0633516
γ1 four-vector: E=0.0362425, Px=-0.0262906, Py=0.0088147, Pz=-0.0233371
γ2 four-vector: E=0.0888206, Px=0.012718, Py=0.0809918, Pz=0.0341712
π+ four-vector: E=0.213259, Px=-0.072239, Py=-0.144617, Pz=0.00508527
π- four-vector: E=0.170514, Px=0.0619482, Py=0.0430061, Pz=-0.0637728
γ1 four-vector: E=0.145684, Px=-0.028838, Py=0.138412, Pz=0.0351339
γ2 four-vector: E=0.0527632, Px=0.0429374, Py=-0.0199538, Pz=0.0232846
π+ four-vector: E=0.197199, Px=0.113183, Py=-0.0543436, Pz=0.0616668
π- four-vector: E=0.158372, Px=-0.0436064, Py=-0.0615326, Pz=0.00853153
γ1 four-vector: E=0.121049, Px=-0.0497531, Py=0.0411562, Pz=-0.102389
γ2 four-vector: E=0.0451395, Px=-0.00708092, Py=0.0415814, Pz=0.0160754
π+ four-vector: E=0.172748, Px=-0.0787189, Py=0.0650443, Pz=0.00966572
π- four-vector: E=0.221464, Px=0.104155, Py=-0.128712, Pz=0.0480662
γ1 four-vector: E=0.0444512, Px=-0.0287617, Py=-0.0155714, Pz=-0.0301032
γ2 four-vector: E=0.119331, Px=0.0408161, Py=0.111261, Pz=-0.013962
π+ four-vector: E=0.176621, Px=0.0433621, Py=-0.0840764, Pz=0.054081
π- four-vector: E=0.225637, Px=-0.0559965, Py=0.0811546, Pz=-0.147883
γ1 four-vector: E=0.0868501, Px=0.00443861, Py=0.0380203, Pz=0.0779595
γ2 four-vector: E=0.0706598, Px=0.0235839, Py=-0.059294, Pz=-0.0303451
π+ four-vector: E=0.197662, Px=-0.0909363, Py=0.100432, Pz=0.037325
π- four-vector: E=0.204152, Px=0.134408, Py=-0.0654992, Pz=0.00117563
γ1 four-vector: E=0.0708719, Px=-0.0642227, Py=-0.0291827, Pz=-0.00682882
γ2 four-vector: E=0.0692235, Px=0.0598407, Py=0.0142562, Pz=-0.0317451
π+ four-vector: E=0.201256, Px=-0.109341, Py=-0.064334, Pz=0.0713365
π- four-vector: E=0.168163, Px=0.0721066, Py=-0.0481345, Pz=-0.0379653
γ1 four-vector: E=0.0722421, Px=0.0162858, Py=-0.00712358, Pz=0.0700211
γ2 four-vector: E=0.0246911, Px=-0.00374626, Py=0.0186192, Pz=-0.0157779
π+ four-vector: E=0.217536, Px=-0.162564, Py=0.0390878, Pz=0.00679439
π- four-vector: E=0.179958, Px=0.112291, Py=-0.0147077, Pz=0.0154356
γ1 four-vector: E=0.344794, Px=-0.0427142, Py=0.00265902, Pz=0.342127
γ2 four-vector: E=0.01, Px=0.00018441, Py=-0.000268832, Pz=0.00999468
π+ four-vector: E=0.200497, Px=0.125866, Py=0.0288709, Pz=-0.0648271
π- four-vector: E=0.153656, Px=0.0208287, Py=-0.00569786, Pz=0.0618296
γ1 four-vector: E=0.0783372, Px=-0.015522, Py=-0.076268, Pz=-0.00888748
γ2 four-vector: E=0.215133, Px=0.00657346, Py=-0.00422985, Pz=0.214991
π+ four-vector: E=0.148881, Px=-0.0380823, Py=0.00749642, Pz=0.0365794
π- four-vector: E=0.213611, Px=0.135645, Py=-0.0803531, Pz=0.0381124
γ1 four-vector: E=0.01, Px=-0.00555981, Py=-0.00187838, Pz=0.00809693
γ2 four-vector: E=0.01, Px=0.00325489, Py=-0.00386772, Pz=0.00862824
